DATE,AGE,SOCIAL MEDIA USAGE,MAIN SOCIAL MEDIA,CONFIDENCE,photo1,photo2,photo3,photo4,photo5,photo6,photo7,CONSENT
22/12/2025 14:26:43,20,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 14:33:33,20,3-5 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 14:35:14,20,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 14:35:47,18,1-3 hours,TikTok,5,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 14:38:06,21,3-5 hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 14:40:04,21,3-5 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 14:40:06,21,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 14:42:57,21,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 14:43:02,21,3-5 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 14:45:14,21,3-5 hours,Instagram,4,AI generated,AI generated,AI generated,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 14:48:41,59,3-5 hours,Instagram,2,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 14:50:02,21,3-5 hours,Instagram,4,AI generated,AI generated,Real photo,AI generated,Right Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 14:54:24,21,1-3 hours,Instagram,4,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 14:59:07,20,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 15:01:35,60,Less than 1h,Facebook,1,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 15:04:33,20,3-5 hours,TikTok,3,AI generated,AI generated,Real photo,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 15:09:26,19,1-3 hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 15:15:38,20,1-3 hours,TikTok,5,Real photo,AI generated,AI generated,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 15:16:22,20,3-5 hours,TikTok,2,Real photo,AI generated,AI generated,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 15:16:56,20,3-5 hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 15:19:05,20,3-5 hours,TikTok,1,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 15:22:07,21,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 15:29:44,20,3-5 hours,Instagram,4,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 15:30:09,21,Less than 1h,Instagram,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 15:31:34,22,1-3 hours,Instagram,4,AI generated,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 15:34:27,52,Less than 1h,Facebook,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 15:36:14,21,1-3 hours,Instagram,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 15:41:59,19,1-3 hours,X (formerly Twitter),3,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 15:47:15,21,1-3 hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 15:48:04,23,Less than 1h,Instagram,2,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 15:59:06,20,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 16:06:52,31,1-3 hours,Instagram,2,Real photo,AI generated,Real photo,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 16:12:42,20,5+ hours,Instagram,5,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 16:16:06,50,1-3 hours,Facebook,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 16:17:09,50,Less than 1h,Facebook,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 16:23:34,52,Less than 1h,Facebook,2,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 16:25:33,22,1-3 hours,Instagram,4,AI generated,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 16:31:45,28,1-3 hours,Instagram,2,AI generated,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 16:39:30,20,Less than 1h,TikTok,2,Real photo,Real photo,Real photo,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 16:40:10,23,3-5 hours,X (formerly Twitter),3,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 16:56:24,21,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 16:57:54,20,5+ hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 17:00:36,20,3-5 hours,Instagram,3,Real photo,Real photo,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 17:01:16,59,1-3 hours,Instagram,3,Real photo,Real photo,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 17:04:05,37,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 17:11:39,59,1-3 hours,Instagram,2,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 17:20:40,20,3-5 hours,X (formerly Twitter),3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 17:24:45,19,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 17:25:19,19,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 17:28:33,22,3-5 hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 17:32:00,20,3-5 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 17:39:42,47,1-3 hours,Instagram,2,AI generated,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 17:50:29,20,3-5 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 17:54:33,21,Less than 1h,Instagram,2,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 17:58:15,20,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 18:00:25,48,1-3 hours,TikTok,3,Real photo,Real photo,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 18:01:26,20,3-5 hours,Instagram,4,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 18:01:29,65,1-3 hours,TikTok,3,Real photo,Real photo,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 18:03:23,20,3-5 hours,X (formerly Twitter),4,AI generated,AI generated,Real photo,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 18:11:47,32,1-3 hours,Facebook,1,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 18:12:41,41,1-3 hours,X (formerly Twitter),5,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 18:25:15,22,1-3 hours,Instagram,4,AI generated,AI generated,Real photo,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 19:07:33,21,3-5 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 19:31:15,42,1-3 hours,Facebook,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 19:33:10,53,Less than 1h,Facebook,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 19:34:22,29,1-3 hours,Facebook,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 19:40:12,48,1-3 hours,Other,3,AI generated,Real photo,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 19:42:33,56,1-3 hours,Facebook,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 19:45:32,53,1-3 hours,Facebook,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 19:46:47,20,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 19:55:24,20,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 19:57:16,19,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 19:58:36,52,1-3 hours,X (formerly Twitter),5,AI generated,AI generated,AI generated,Real photo,Right Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 20:05:48,22,1-3 hours,Instagram,3,Real photo,AI generated,Real photo,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 20:22:32,56,Less than 1h,Facebook,1,AI generated,AI generated,AI generated,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
22/12/2025 20:25:53,41,Less than 1h,Facebook,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 20:26:33,53,Less than 1h,Other,3,Real photo,Real photo,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 20:42:20,21,1-3 hours,Instagram,3,Real photo,Real photo,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 21:07:49,45,Less than 1h,Facebook,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 21:19:57,63,Less than 1h,Other,1,Real photo,AI generated,AI generated,AI generated,Right Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 21:34:12,24,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 21:41:20,21,Less than 1h,Other,2,AI generated,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 22:12:57,20,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 22:37:31,20,1-3 hours,Instagram,3,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 1:40:00,19,5+ hours,TikTok,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 2:31:07,20,Less than 1h,Instagram,5,AI generated,Real photo,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 7:54:50,46,1-3 hours,Facebook,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 8:15:19,32,1-3 hours,Facebook,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 8:47:03,48,1-3 hours,Facebook,2,AI generated,AI generated,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 10:00:14,34,1-3 hours,Facebook,3,Real photo,Real photo,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 10:16:13,50,Less than 1h,Facebook,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 10:23:50,20,3-5 hours,TikTok,2,Real photo,AI generated,AI generated,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 10:31:02,52,Less than 1h,Facebook,4,Real photo,Real photo,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 10:44:03,20,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
